ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
321588,4101032,3,5
321588,4101485,3,5
321588,4102846,3,3
321588,4102849,3,3
321588,4102852,4,4
321588,4108350,2,2
321588,4108352,3,3
321588,4108830,4,5
321588,4108832,4,5
321588,4109365,4,4
321588,4115173,3,3
321588,4117112,4,5
321588,4119601,4,5
321588,4121479,5,5
321588,4124689,4,4
321588,4124697,5,5
321588,4137382,2,5
321588,4141360,2,5
321588,4146580,5,5
321588,4154290,2,5
321588,4171269,4,4
321588,4171887,4,4
321588,4221281,2,2
321588,4245618,4,5
321588,4289309,3,3
321588,4303256,2,5
321588,4316879,2,4
321588,4317287,3,4
321588,36712986,5,5
321588,36714994,5,5
321588,36715042,2,6
321588,37395821,4,5
321588,37395937,3,5
321588,40486037,3,5
321588,40486063,5,5
321588,40487037,3,3
321588,40487981,6,6
321588,40488071,5,5
321588,40488396,3,5
134057,313217,4,5
134057,314665,5,5
134057,4066746,5,7
134057,4068155,4,4
134057,4081040,6,6
134057,4088504,5,5
134057,4088984,6,6
134057,4088986,3,3
134057,4089460,6,6
134057,4098133,3,7
134057,4100130,5,5
134057,4100133,4,4
134057,4100135,4,5
134057,4100136,3,3
134057,4100138,5,5
134057,4100254,6,6
134057,4100866,5,5
134057,4100867,5,5
134057,4100869,5,5
134057,4101033,3,7
134057,4102252,4,6
134057,4102845,4,4
134057,4102853,5,5
134057,4102856,3,3
134057,4108830,5,6
134057,4109365,5,5
134057,4117112,5,6
134057,4119602,5,6
134057,4120084,3,5
134057,4121470,6,6
134057,4152594,4,4
134057,4171887,5,5
134057,4176112,6,6
134057,4190306,5,6
134057,4199501,5,6
134057,4216321,4,4
134057,4219995,4,8
134057,4229749,3,3
134057,4232691,5,6
134057,4232697,5,6
134057,4236004,4,4
134057,4236884,5,5
134057,4245618,5,6
134057,4273462,3,4
134057,4277903,4,6
134057,36716113,2,5
134057,36716866,5,5
134057,37110775,2,6
134057,40486037,4,6
134057,40487418,4,5
134057,40487587,5,5
134057,40487981,7,7
134057,40488071,6,6
134057,40488072,6,6
134057,40489904,5,5
134057,40490482,4,6
134057,40490945,7,7
134057,40491009,4,4
134057,40493209,4,4
134057,40493497,6,7
134057,43020560,5,5
134057,43020562,5,5
134057,43020888,4,4
134057,43020925,1,1
134057,43020933,4,4
134057,43021060,4,5
134057,43021733,5,5
134057,43021828,4,4
134057,43022053,5,5
134057,44782442,5,6
134057,44803454,6,6
134057,44804850,4,5
134057,45768480,6,7
138255,4187518,2,2
141124,4066746,4,7
141124,4100134,4,5
141124,4100254,5,5
141124,4100866,4,4
141124,4101032,4,4
141124,4101033,5,6
141124,4101485,5,5
141124,4245618,4,5
141124,40486037,5,5
141124,40487981,6,6
141124,40488071,5,5
141124,40488396,5,5
141124,40490945,6,6
141124,40491008,3,3
141124,40493497,6,7
141124,44803455,5,5
193460,36716113,2,2
196151,36715042,4,4
312723,4027246,1,1
312723,4049297,1,1
312723,4100138,2,2
312723,4100139,2,2
312723,4100867,2,2
312723,4100869,2,2
312723,4100870,2,2
312723,4102845,1,1
312723,4102853,2,2
312723,4219995,5,5
312723,4236884,2,2
312723,36716113,2,2
312723,37110775,3,3
312723,40486560,3,3
312723,40487037,1,1
312723,40487587,2,2
312723,40488072,3,3
312723,40493209,1,1
312723,40493497,4,5
312723,44803309,4,4
312723,44803454,3,3
313217,313217,0,0
313217,4141360,1,1
313217,4154290,1,1
313217,4199501,1,1
313217,4232697,1,1
313217,37395821,1,1
313217,45768480,2,2
313792,4124696,2,2
313792,4190306,2,2
314665,4108832,1,1
314665,4137382,1,1
314665,36712986,1,1
314665,36714994,1,1
315643,4108830,3,3
315643,4171887,2,2
315643,4303256,3,3
315643,43022053,2,2
315643,44782442,2,2
316993,40493497,4,4
316999,4277903,2,2
317100,43021733,1,1
317100,43022053,1,1
317302,4102252,1,1
317302,4124704,1,1
317893,4108830,1,1
317893,4303256,1,1
318772,4229749,2,2
320425,4277903,1,1
320536,4064452,1,1
320536,4111551,1,1
320536,4300288,3,3
320536,4305516,2,2
320536,4337811,3,3
320536,37017191,2,2
321588,313217,3,4
321588,314665,4,4
321588,4027246,3,3
321588,4066746,4,6
321588,4068155,3,3
321588,4088504,4,4
321588,4088984,5,5
